"STATION","DATE","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00025333","2018-10-20",,,,,,,,,,,,,,
"USW00025333","2018-10-21",,,,,,,,,,,,,,
"USW00025333","2018-10-22",,,,,,,,,,,,,,
"USW00025333","2018-10-23",,,,,,,,,,,,,,
"USW00025333","2018-10-24",,,,,,,,,,,,,,
"USW00025333","2018-10-25",,,,,,,,,,,,,,
"USW00025333","2018-10-26",,,,,,,,,,,,,,
"USW00025333","2018-10-27",,,,,,,,,,,,,,
"USW00025333","2018-10-28",,,,,,,,,,,,,,
"USW00025333","2018-10-29",,,,,,,,,,,,,,
"USW00025333","2018-10-30",,,,,,,,,,,,,,
"USW00025333","2018-10-31",,,,,,,,,,,,,,
